Capacity_kWh,Power_kW,Investment_Yuan,Payback_Years,AnnualSaving_Yuan
5,2,9100,Inf,-1700.89289117033
5,3,9900,Inf,-1711.17114673645
5,5,11500,Inf,-1727.17114673645
10,2,16600,Inf,-2959.15830062989
10,3,17400,Inf,-2969.57846814835
10,5,19000,Inf,-2985.57846814836
10,7,20600,Inf,-3001.57846814833
10,10,23000,Inf,-3025.57846814833
15,2,24100,Inf,-4109.51350742251
15,3,24900,Inf,-4121.21151822319
15,5,26500,Inf,-4138.95313366531
15,7,28100,Inf,-4155.08886738549
15,10,30500,Inf,-4179.0888673855
20,2,31600,Inf,-4951.14645037756
20,3,32400,Inf,-5044.91611272918
20,5,34000,Inf,-5063.45564222214
20,7,35600,Inf,-5081.56709714735
20,10,38000,Inf,-5106.28356143037
30,2,46600,Inf,-5902.65098757246
30,3,47400,Inf,-6142.29448503419
30,5,49000,Inf,-6269.53202880174
30,7,50600,Inf,-6293.52607629541
30,10,53000,Inf,-6322.31771334771
40,2,61600,Inf,-6105.70751591558
40,3,62400,Inf,-6603.43972073355
40,5,64000,Inf,-6873.40714014865
40,7,65600,Inf,-6954.73787788036
40,10,68000,Inf,-6986.676415675
