Capacity_kWh,Power_kW,AnnualCost_Yuan,SelfUseRate,PeakImport_kW,EquivCycles,Investment_Yuan,Payback_Years,AnnualSaving_Yuan
5,2,-3518.82397577358,0.18177281548923,11.8526067707856,221.813944656713,9100,Inf,-1700.89289117033
5,3,-3516.54572020746,0.181846315497142,12.6587540745127,222.108789435997,9900,Inf,-1711.17114673645
5,5,-3516.54572020746,0.18184631549714,14.6587540745127,222.108789435997,11500,Inf,-1727.17114673645
10,2,-2335.55856631403,0.222717669010222,12.4989191112185,193.14447232837,16600,Inf,-2959.15830062989
10,3,-2333.13839879556,0.222791169018131,12.8526067707856,193.291894718,17400,Inf,-2969.57846814835
10,5,-2333.13839879555,0.222791169018125,14.8526067707856,193.291894718002,19000,Inf,-2985.57846814836
10,7,-2333.13839879558,0.222791169018128,16.8526067707856,193.291894717999,20600,Inf,-3001.57846814833
10,10,-2333.13839879558,0.222791169018128,19.7052135415711,193.291894718,23000,Inf,-3025.57846814833
15,2,-1260.2033595214,0.263646521012678,12.4989191112185,183.566584891513,24100,Inf,-4109.51350742251
15,3,-1256.50534872072,0.263720021020581,13.4989191112185,183.664866484601,24900,Inf,-4121.21151822319
15,5,-1254.7637332786,0.26372002102058,14.8526067707856,183.664866484599,26500,Inf,-4138.95313366531
15,7,-1254.62799955843,0.26372002102058,16.8526067707856,183.664866484602,28100,Inf,-4155.08886738549
15,10,-1254.62799955841,0.26372002102058,19.7052135415711,183.664866484601,30500,Inf,-4179.0888673855
20,2,-493.570416566349,0.29604997495491,12.4989191112185,170.202384125332,31600,Inf,-4951.14645037756
20,3,-407.800754214732,0.296205540372398,13.4989191112185,170.364469190343,32400,Inf,-5044.91611272918
20,5,-405.261224721775,0.296205540372399,15.4989191112185,170.364469190339,34000,Inf,-5063.45564222214
20,7,-403.149769796563,0.296205540372397,16.8526067707856,170.364469190345,35600,Inf,-5081.56709714735
20,10,-402.433305513543,0.296205540372397,19.7052135415711,170.364469190343,38000,Inf,-5106.28356143037
30,2,307.934120628543,0.332063330900961,12.4989191112185,137.4711446152,46600,Inf,-5902.65098757246
30,3,539.577618090279,0.337384631177219,13.4989191112185,141.032919670704,47400,Inf,-6142.29448503419
30,5,650.815161857828,0.337874210570278,15.4989191112185,141.360243735447,49000,Inf,-6269.53202880174
30,7,658.809209351497,0.338135230742891,17.4989191112185,141.534757175137,50600,Inf,-6293.52607629541
30,10,663.600846403802,0.338271980554891,20.4989191112185,141.62618566447,53000,Inf,-6322.31771334771
40,2,360.990648971664,0.334197295171796,12.4989191112185,104.117156346983,61600,Inf,-6105.70751591558
40,3,850.722853789634,0.351970399669354,13.4989191112185,113.032278577747,62400,Inf,-6603.43972073355
40,5,1104.69027320474,0.355235899230454,15.4989191112185,114.66971972354,64000,Inf,-6873.40714014865
40,7,1170.02101093645,0.355628885835235,17.4989191112185,114.86677760837,65600,Inf,-6954.73787788036
40,10,1177.95954873109,0.3558946788091,20.4989191112185,115.00005594558,68000,Inf,-6986.676415675
