Capacity_kWh,Power_kW,AnnualCost_Yuan,SelfUseRate,PeakImport_kW,EquivCycles,Investment_Yuan,Payback_Years,AnnualSaving_Yuan
5,2,-4142.03275830315,0.18288260384649,8.80565265473217,222.694093257462,9100,Inf,-1679.22869598885
5,3,-4137.72957645777,0.183032655270002,9.38478427057406,223.296023517114,9900,Inf,-1691.53187783422
5,5,-4136.23107606605,0.183082797694243,11.3847842705741,223.497169509191,11500,Inf,-1709.03037822594
10,2,-2975.20696741636,0.223827457367483,9.88268112317677,193.584546628741,16600,Inf,-2921.05448687564
10,3,-2970.7318583245,0.223977508790991,10.8826811231768,193.885511758558,17400,Inf,-2933.52959596749
10,5,-2969.18997874159,0.224027651215229,12.8826811231768,193.986084754597,19000,Inf,-2951.0714755504
10,7,-2969.17072106286,0.22402829561059,14.8826811231768,193.987377248386,20600,Inf,-2967.09073322914
10,10,-2969.17072106286,0.22402829561059,15.0021668985309,193.987377248386,23000,Inf,-2991.09073322914
15,2,-1950.40250552027,0.264756309369938,10.280745072164,183.85996775843,24100,Inf,-4020.85894877172
15,3,-1945.60908170112,0.264906360793439,11.1069196510157,184.060611178305,24900,Inf,-4033.65237259088
15,5,-1943.34854744573,0.264956503217681,13.1069196510157,184.127659842329,26500,Inf,-4051.91290684627
15,7,-1943.16943759658,0.264957147613041,15.1069196510157,184.128521504858,28100,Inf,-4068.09201669542
15,10,-1943.14728403651,0.264957147613041,16.2138393020313,184.128521504857,30500,Inf,-4092.11417025549
20,2,-1179.2775062041,0.298054762434839,10.8056526547322,171.319991991109,31600,Inf,-4866.9839480879
20,3,-1134.22436930421,0.298231199525551,11.8056526547322,171.503008699735,32400,Inf,-4920.03708498779
20,5,-1131.69371564448,0.298295695816842,13.6114403833922,171.567690307635,34000,Inf,-4938.56773864751
20,7,-1130.77627863483,0.298304649670043,15.6114403833922,171.576669887867,35600,Inf,-4955.48517565717
20,10,-1130.49289019263,0.298305873767659,17.2228807667843,171.57789750267,38000,Inf,-4979.76856409937
30,2,-326.139579527687,0.3372298646956,10.8056526547322,140.330103813673,46600,Inf,-5870.12187476431
30,3,-128.431990787852,0.34470811841975,11.8056526547322,145.333979537722,47400,Inf,-6075.82946350414
30,5,-110.527093582059,0.345809914084813,13.8056526547322,146.070620500804,49000,Inf,-6109.73436070994
30,7,-108.379941669943,0.345885846561775,15.8056526547322,146.12138760285,50600,Inf,-6127.88151262205
30,10,-107.791149579341,0.345898078039695,17.6113053094643,146.129565351193,53000,Inf,-6152.47030471265
40,2,-160.544481019631,0.344548882789695,10.8056526547322,108.861351741704,61600,Inf,-6185.71697327237
40,3,186.559892063375,0.359169565346661,11.8056526547322,116.195734089381,62400,Inf,-6540.82134635537
40,5,414.968868822563,0.370418764134909,13.8056526547322,121.836494594311,64000,Inf,-6785.23032311456
40,7,448.564321449348,0.372332419526149,15.8056526547322,122.796071534329,65600,Inf,-6834.82577574134
40,10,449.788549382864,0.372375575787837,17.6113053094643,122.817711665424,68000,Inf,-6860.05000367486
